1 NSE Cal,2 R2 Cal,3 pBIAS Cal,4 RSR Cal,5 KGE Cal,6 NSE Cal,7 R2 Cal,8 pBIAS Cal,9 RSR Cal,10 KGE Cal,11 NSE Cal,12 R2 Cal,13 pBIAS Cal,14 RSR Cal,15 KGE Cal,16 NSE Cal for conc,17 R2 Cal for conc,18 pBIAS Cal for conc,19 RSR Cal for conc,20 KGE Cal for conc,21 NSE Cal for load,22 R2 Cal for load,23 pBIAS Cal for load,24 RSR Cal for load,25 KGE Cal for load,26 NSE Cal for yield,27 R2 Cal for yield,28 pBIAS Cal for yield,29 RSR Cal for yield,30 KGE Cal for yield,31 NSE Cal for conc,32 R2 Cal for conc,33 pBIAS Cal for conc,34 RSR Cal for conc,35 KGE Cal for conc,36 NSE Cal for load,37 R2 Cal for load,38 pBIAS Cal for load,39 RSR Cal for load,40 KGE Cal for load,41 NSE Cal for yield,42 R2 Cal for yield,43 pBIAS Cal for yield,44 RSR Cal for yield,45 KGE Cal for yield,46 NSE Cal for conc,47 R2 Cal for conc,48 pBIAS Cal for conc,49 RSR Cal for conc,50 KGE Cal for conc,51 NSE Cal for load,52 R2 Cal for load,53 pBIAS Cal for load,54 RSR Cal for load,55 KGE Cal for load,56 NSE Cal for yield,57 R2 Cal for yield,58 pBIAS Cal for yield,59 RSR Cal for yield,60 KGE Cal for yield,61 NSE Cal for conc,62 R2 Cal for conc,63 pBIAS Cal for conc,64 RSR Cal for conc,65 KGE Cal for conc,66 NSE Cal for load,67 R2 Cal for load,68 pBIAS Cal for load,69 RSR Cal for load,70 KGE Cal for load,71 NSE Cal for yield,72 R2 Cal for yield,73 pBIAS Cal for yield,74 RSR Cal for yield,75 KGE Cal for yield,76 NSE Cal for conc,77 R2 Cal for conc,78 pBIAS Cal for conc,79 RSR Cal for conc,80 KGE Cal for conc,81 NSE Cal for load,82 R2 Cal for load,83 pBIAS Cal for load,84 RSR Cal for load,85 KGE Cal for load,86 NSE Cal for yield,87 R2 Cal for yield,88 pBIAS Cal for yield,89 RSR Cal for yield,90 KGE Cal for yield,91 NSE Cal for conc,92 R2 Cal for conc,93 pBIAS Cal for conc,94 RSR Cal for conc,95 KGE Cal for conc,96 NSE Cal for load,97 R2 Cal for load,98 pBIAS Cal for load,99 RSR Cal for load,100 KGE Cal for load,101 NSE Cal for yield,102 R2 Cal for yield,103 pBIAS Cal for yield,104 RSR Cal for yield,105 KGE Cal for yield,106 NSE Cal for conc,107 R2 Cal for conc,108 pBIAS Cal for conc,109 RSR Cal for conc,110 KGE Cal for conc,111 NSE Cal for load,112 R2 Cal for load,113 pBIAS Cal for load,114 RSR Cal for load,115 KGE Cal for load,116 NSE Cal for yield,117 R2 Cal for yield,118 pBIAS Cal for yield,119 RSR Cal for yield,120 KGE Cal for yield,121 NSE Cal for conc,122 R2 Cal for conc,123 pBIAS Cal for conc,124 RSR Cal for conc,125 KGE Cal for conc,126 NSE Cal for load,127 R2 Cal for load,128 pBIAS Cal for load,129 RSR Cal for load,130 KGE Cal for load,131 NSE Cal for yield,132 R2 Cal for yield,133 pBIAS Cal for yield,134 RSR Cal for yield,135 KGE Cal for yield,136 NSE Cal for conc,137 R2 Cal for conc,138 pBIAS Cal for conc,139 RSR Cal for conc,140 KGE Cal for conc,141 NSE Cal for load,142 R2 Cal for load,143 pBIAS Cal for load,144 RSR Cal for load,145 KGE Cal for load,146 NSE Cal for yield,147 R2 Cal for yield,148 pBIAS Cal for yield,149 RSR Cal for yield,150 KGE Cal for yield
0.978,0.9,,,,0.68,0.67,-2.7,0.64,,0.84,0.774,-12.6,0.73,,0.66,0.42,,,,,,,,,,,,,,0.33,0.8,,,,0.77,0.41,18.85,,,0.74,,-256.42,,,0.8,,-2,,,0.636,0.47,61.56,,,-72.098,0.61,0.8,0.063333333,,0.75,0.96,0.25,,,,,,,,,,,,,0.62,0.98,-26.4,,,0.78,0.97,-32.2,,,,,,,,0.45,0.42,3.4,,,0.71,0.4,22.7,0.58,,,,,,,,,,,,,,,,,,,,,,0.58,0.39,-2.5,,,0.87,0.91,0.8,0.54,,,,,,,0.77,0.73,,,,0.97,0.75,24.32,0.496,,,,,,
0.88,0.98,,,,0.62,0.66,-8,0.5,,0.728,0.76,-5.7,0.62,,0.59,0.26,,,,,,,,,,,,,,0.27,0.48,,,,0.75,0.6,8.42,,,0.07,,-11.68,,,0.7,,4.5,,,0.53,0.93,26.55,,,0.6,0.8,-2.3,0.72,,0.42,0.6,1.16,,,,,,,,,,,,,0.62,0.85,10.6,,,-0.35,0.24,13.6,,,,,,,,-1.08,0.43,10.5,,,0.77,0.46,0.2,0.49,,,,,,,,,,,,,,,,,,,,,,-0.07,0.77,45.8,,,0.807,0.94,-7.8,0.6505,,,,,,,0.67,0.62,,,,0.66,0.24,-9,0.64,,,,,,
0.71,0.89,,,,0.755,0.43,2,0.7,,0.65,0.68,-21.8,0.65,,0.54,0.13,,,,,,,,,,,,,,0.7785,0.45,,,,0.53,0.63,15.36,,,0.865,,,,,0.74,,-30.68,,,0.32,0.645,33.77,,,0.79,0.52,-7.1,0.74,,0.25,0.95,-5.97,,,,,,,,,,,,,0.62,0.75,32.4,,,0.48,0.47,-22.9,,,,,,,,0.51,0.04,3.34,,,0.54,0.85,43.6,0.84,,,,,,,,,,,,,,,,,,,,,,0.33,0.32,-9.3,,,-0.05,0.76,-10,0.63,,,,,,,0.56,0.8,,,,0.352,0.53,-17.42,,,,,,,
0.68,0.74,,,,0.53,0.68,8.5,0.53,,0.58,0.89,-17.3,0.56,,0.94,0.7,,,,,,,,,,,,,,0.83,0.52,,,,0.39,0.81,24.73,,,0.99,,,,,0.58,,25.2,,,0.79,0.53,-1.39,,,0.53,0.9,-7.16,3.6,,0.91,0.95,1.55,,,,,,,,,,,,,-1.69,0.61,-5.5,,,0.89,0.45,-0.9,,,,,,,,-3.82,0.99,-3.35,,,0.71,0.77,22.76,0.88,,,,,,,,,,,,,,,,,,,,,,-1.9,0.79,37,,,0.9,0.6,-10,0.67,,,,,,,0.51,0.79,,,,0.81,0.53,-12.14,,,,,,,
0.82,0.86,,,,0.768,0.88,-16.265,0.57,,0.88,0.89,-9.4,0.28,,0.48,0.73,,,,,,,,,,,,,,0.64,0.36,,,,0.38,0.94,-16.15,,,0.7,,,,,0.67,,1.5,,,0.84,0.37,-5.3,,,0.81,0.13,-11.67,1.5,,-0.07,0.46,-13.7,,,,,,,,,,,,,0.35,0.85,4.9,,,0.84,0.51,-0.02,,,,,,,,0.44,0.71,-0.45,,,0.24,0.73,24.07,,,,,,,,,,,,,,,,,,,,,,,0.04,0.33,-8.33,,,0.84,0.71,-13.1,0.78,,,,,,,0.61,0.72,,,,0.744,0.58,9.7,,,,,,,
0.46,0.84,,,,0.61,0.97,7.04,0.48,,0.82,0.65,-7.3,0.23,,0.55,0.71,,,,,,,,,,,,,,0.76,0.36,,,,0.5,0.47,-108.76,,,-0.01,,,,,0.81,,-14.7,,,-0.05,0.88,43.5,,,-0.05,0.11,10.02,0.34,,0.46,0.2,42.6,,,,,,,,,,,,,0.92,0.73,0.84,,,0.45,0.49,-0.26,,,,,,,,0.96,0.96,4.6,,,-0.21,0.74,-28.73,,,,,,,,,,,,,,,,,,,,,,,-0.64,0.58,-10.35,,,0.44,0.69,8.52,0.56,,,,,,,0.41,0.71,,,,0.53,0.49,-5.56,,,,,,,
0.69,0.87,,,,0.56,0.79,-5,0.52,,0.744,0.52,-11.1,0.7,,0.51,0.98,,,,,,,,,,,,,,0.41,0.98,,,,0.63,0.64,-10.7,,,-25.66,,,,,0.57,,-23.9,,,0.66,0.79,-19.58,,,-0.04,0.03,-63,,,0.42,,-2.9,,,,,,,,,,,,,0,0.79,19.5,,,0.39,0.62,-0.16,,,,,,,,0.93,0.96,15.1,,,0.92,0.62,17.77,,,,,,,,,,,,,,,,,,,,,,,-0.36,0.5,,,,0.82,0.56,4.1,0.579,,,,,,,0.984,0.62,,,,-0.17,0.91,20.77,,,,,,,
0.65,0.68,,,,0.67,0.92,-2,0.61,,0.745,0.9,-10.5,0.6,,-2.26,0.6,,,,,,,,,,,,,,0.44,0.95,,,,0.67,0.11,44,,,0.49,,,,,0.51,,-4.6,,,0.55,0.86,15.49,,,-0.73,0.83,-22,,,0.86,,15.4,,,,,,,,,,,,,0.3,0.97,3.4,,,0.5,0.86,19.9,,,,,,,,0.6,,58.4,,,0.36,0.77,12.49,,,,,,,,,,,,,,,,,,,,,,,0.3,0.49,,,,0.71,0.74,6.12,0.69,,,,,,,0.78,0.73,,,,0.54,0.9,-7.64,,,,,,,
0.81,0.88,,,,0.57,0.723333333,-11,0.55,,0.95,0.8,-29.6,0.44,,,0.7,,,,,,,,,,,,,,0.66,,,,,0.63,0.92,29.5,,,0.29,,,,,0.49,,-10.4,,,0.43,0.57,35.8,,,0.464,0.81,,,,-2.15,,0.8,,,,,,,,,,,,,0.82,0.63,2.9,,,0.49,0.99,0.07,,,,,,,,0.9,,-11.8,,,0.68,0.63,49.7,,,,,,,,,,,,,,,,,,,,,,,0.73,0.77,,,,0.843,0.823333333,-4.3,0.13,,,,,,,0.51,0.81,,,,0.06,0.42,-7.1,,,,,,,
0.96,0.97,,,,0.39,0.905,-8,0.51,,0.75,0.926,-8.25,0.57,,,0.56,,,,,,,,,,,,,,0.51,,,,,0.4,0.79,6.6,,,0.61,,,,,0.75,,-22.1,,,0.52,0.77,3.5,,,0.28,0.5,,,,0,,0.71,,,,,,,,,,,,,0.72,0.95,3.8,,,0.72,0.52,0.71,,,,,,,,-0.07,,38.4,,,0.76,0.39,-4.7,,,,,,,,,,,,,,,,,,,,,,,0.86,0.66,,,,0.6,0.65,44,0.8,,,,,,,0.67,0.996,,,,0.51,0.15,0.8,,,,,,,
